Index	Skill name 	Category
1	Number Line	algebra
2	Venn Diagram	statistic
3	Conversion of Fraction Decimals Percents	algebra
4	Equivalent Fractions	algebra
5	Ordering Positive Decimals	algebra
6	Ordering Fractions	algebra
7	Ordering Integers	algebra
8	Rounding	algebra
9	Addition Whole Numbers	algebra
10	Division Fractions	algebra
11	Estimation	algebra
12	Least Common Multiple	algebra
13	Multiplication Fractions	algebra
14	Percent Of	algebra
15	Subtraction Whole Numbers	algebra
16	Square Root	algebra
17	Finding Percents	algebra
18	Proportion	algebra
19	Scale Factor	algebra
20	Unit Rate	algebra
21	Scientific Notation	algebra
22	Divisibility Rules	algebra
23	Prime Number	algebra
24	Absolute Value	algebra
25	Exponents	algebra
26	Pattern Finding	algebra
27	Algebraic Simplification	algebra
28	Algebraic Solving	algebra
29	Choose an Equation from Given Information	algebra
30	Percent Discount	algebra
31	Percents	algebra
32	Rate	algebra
33	Multiplication and Division Positive Decimals	algebra
34	Addition and Subtraction Integers	algebra
35	Addition and Subtraction Positive Decimals	algebra
36	Multiplication and Division Integers	algebra
37	Addition and Subtraction Fractions	algebra
38	Order of Operations +,-,/,* () positive reals	algebra
39	Order of Operations All	algebra
40	Equation Solving Two or Fewer Steps	algebra
41	Equation Solving More Than Two Steps	algebra
42	Greatest Common Factor	algebra
43	Write Linear Equation from Ordered Pairs	algebra
44	Write Linear Equation from Situation	algebra
45	Recognize Linear Pattern	algebra
46	Distributive Property	algebra
47	Polynomial Factors	algebra
48	Recognize Quadratic Pattern	algebra
49	Solving Systems of Linear Equations	algebra
50	Quadratic Formula to Solve Quadratic Equation	algebra
51	Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable	algebra
52	Solving for a variable	algebra
53	Simplifying Expressions positive exponents	algebra
54	Box and Whisker	statistic
55	Circle Graph	statistic
56	Histogram as Table or Graph	statistic
57	Scatter Plot	statistic
58	Stem and Leaf Plot	statistic
59	Table	statistic
60	Mean	statistic
61	Median	statistic
62	Range	statistic
63	Counting Methods	probability
64	Probability of Two Distinct Events	probability
65	Probability of a Single Event	probability
66	D.4.8-understanding-concept-of-probabilities	probability
67	Interior Angles Figures with More than 3 Sides	geometry
68	Interior Angles Triangle	geometry
69	Congruence	geometry
70	Complementary and Supplementary Angles	geometry
71	Angles on Parallel Lines Cut by a Transversal	geometry
72	Pythagorean Theorem	geometry
73	Nets of 3D Figures	geometry
74	Unit Conversion Within a System	geometry
75	Effect of Changing Dimensions of a Shape Prportionally	geometry
76	Area Circle	geometry
77	Circumference	geometry
78	Perimeter of a Polygon	geometry
79	Reading a Ruler or Scale	geometry
80	Calculations with Similar Figures	geometry
81	Reflection	geometry
82	Rotations	geometry
83	Translations	geometry
84	Area Irregular Figure	geometry
85	Area Parallelogram	geometry
86	Area Rectangle	geometry
87	Area Trapezoid	geometry
88	Area Triangle	geometry
89	Surface Area Cylinder	geometry
90	Surface Area Rectangular Prism	geometry
91	Volume Cylinder	geometry
92	Volume Rectangular Prism	geometry
93	Volume Sphere	geometry
94	Angles - Obtuse, Acute, and Right	geometry
95	Write Linear Equation from Graph	algebra
96	Finding Slope From Situation	algebra
97	Finding Slope From Equation	algebra
98	Finding Slope from Ordered Pairs	algebra
99	Midpoint	algebra
100	Interpreting Coordinate Graphs	algebra
101	Solving Systems of Linear Equations by Graphing	algebra
102	Mode	statistic
103	Fraction Of	algebra
104	Solving Inequalities	algebra
105	Multiplication Whole Numbers	algebra
106	Ordering Real Numbers	algebra
107	Computation with Real Numbers	algebra
108	Linear Equations	algebra
109	Intercept	algebra
110	Slope	algebra